code,codein,name,high,low,varBid,pctChange,bid,ask,timestamp,create_date
USD,BRL,Dólar Comercial,5.068,4.8595,,,,,,
,,,4.881,4.6452,0.0685,1.43,4.858,4.8611,1584132923,3/13/2020 21:00
,,,4.881,4.6452,0.0415,0.87,4.831,4.8341,1584132774,3/13/2020 17:52
,,,5.028,4.75,-0.0146,-0.3,4.7985,4.7996,1584046679,3/12/2020 17:58
,,,4.8154,4.64,0.1725,3.72,4.814,4.816,1583960268,3/11/2020 17:57
,,,4.7246,4.6348,-0.0797,-1.69,4.6425,4.6443,1583873911,3/10/2020 17:58
,,,4.6711,4.6076,0.0199,0.43,4.6269,4.6275,1583529301,3/6/2020 21:00
,,,4.6711,4.6076,0.0204,0.44,4.6274,4.628,1583529128,3/6/2020 18:12
,,,4.6076,4.6076,0.0003,0.01,4.6073,4.6079,1583442902,3/5/2020 19:00
,,,4.585,4.585,0.0003,0.01,4.5847,4.5853,1583356501,3/4/2020 19:00
,,,4.5148,4.5148,0.0004,0.01,4.5144,4.5151,1583270117,3/3/2020 19:00
,,,4.4744,4.4744,0.0004,0.01,4.474,4.4748,1583188083,3/2/2020 19:28
,,,4.5141,4.4645,-0.0126,-0.28,4.4733,4.4738,1582925397,2/28/2020 21:00
,,,4.5141,4.4645,-0.0081,-0.18,4.4778,4.4783,1582925264,2/28/2020 18:27
,,,4.5008,4.4483,0.0002,0.01,4.4861,4.4866,1582838092,2/27/2020 19:00
,,,4.455,4.3883,0.0003,0.01,4.4502,4.4508,1582751700,2/26/2020 19:00
,,,4.3884,4.3883,0.0005,0.01,4.3878,4.3888,1582641116,2/25/2020 11:31
,,,4.3898,4.3883,-0.0012,-0.03,4.3878,4.3888,1582557608,2/24/2020 12:20
,,,4.4064,4.3717,-0.0036,-0.08,4.3895,4.39,1582319678,2/21/2020 21:00
,,,4.4064,4.3717,-0.005,-0.11,4.388,4.3887,1582319625,2/21/2020 18:13
,,,4.3939,4.3936,0.0006,0.01,4.3938,4.394,1582237803,2/20/2020 19:30
,,,4.3656,4.3653,0.0007,0.02,4.3655,4.3657,1582151403,2/19/2020 19:30
,,,4.3564,4.3559,0.0007,0.02,4.3563,4.3565,1582065002,2/18/2020 19:30
,,,4.328,4.3273,0.001,0.02,4.3279,4.3281,1581978602,2/17/2020 19:30
,,,4.3504,4.2911,-0.0522,-1.2,4.2974,4.2979,1581714902,2/14/2020 21:00
,,,4.3504,4.2911,-0.0559,-1.28,4.2936,4.2943,1581714867,2/14/2020 18:14
,,,4.3504,4.3502,0.0006,0.01,4.3503,4.3505,1581633003,2/13/2020 19:30
,,,4.3552,4.3552,0.0004,0.01,4.3548,4.3557,1581546482,2/12/2020 19:28
,,,4.3319,4.3318,0.0003,0.01,4.3318,4.332,1581460202,2/11/2020 19:30
,,,4.3251,4.3246,-0.0002,0,4.3245,4.3247,1581373803,2/10/2020 19:30
,,,4.3233,4.2793,0.0384,0.9,4.3203,4.321,1581112743,2/7/2020 21:00
,,,4.3233,4.2793,0.0385,0.9,4.3203,4.321,1581112625,2/7/2020 18:57
,,,4.2825,4.2825,0.0004,0.01,4.2822,4.2829,1581028082,2/6/2020 19:28
,,,4.2357,4.2352,-0.0001,0,4.2351,4.2353,1580941802,2/5/2020 19:30
,,,4.2552,4.2547,0.0007,0.02,4.2551,4.2553,1580855403,2/4/2020 19:30
,,,4.248,4.248,0.0004,0.01,4.2476,4.2483,1580768763,2/3/2020 19:26
,,,4.2899,4.2432,0.0394,0.93,4.282,4.2827,1580505308,1/31/2020 21:00
,,,4.2899,4.2432,0.0405,0.96,4.2833,4.2838,1580505161,1/31/2020 18:12
,,,4.2438,4.2432,0.0008,0.02,4.2437,4.2439,1580423402,1/30/2020 19:30
,,,4.2306,4.2304,0.0001,0,4.2303,4.2305,1580337002,1/29/2020 19:30
,,,4.1948,4.1945,0.0005,0.01,4.1947,4.1949,1580250602,1/28/2020 19:30
,,,4.2312,4.1797,0.0003,0.01,4.2074,4.2079,1580159701,1/27/2020 19:00
,,,4.1913,4.1658,0.0114,0.27,4.1814,4.1819,1579900500,1/24/2020 21:00
,,,4.1913,4.1658,0.0116,0.28,4.1816,4.1822,1579900448,1/24/2020 18:14
,,,4.1707,4.1707,0.0004,0.01,4.1703,4.171,1579818483,1/23/2020 19:28
,,,4.2126,4.1734,0.0003,0.01,4.1826,4.1831,1579727701,1/22/2020 19:00
,,,4.2126,4.2126,0.0003,0.01,4.2123,4.2129,1579641302,1/21/2020 19:00
,,,4.1902,4.1902,0.0004,0.01,4.1898,4.1907,1579554888,1/20/2020 19:00
,,,4.1932,4.1593,-0.0227,-0.54,4.1616,4.1624,1579298342,1/17/2020 21:00
,,,4.1932,4.1593,-0.0227,-0.54,4.1616,4.1624,1579298225,1/17/2020 18:57
,,,4.1851,4.1851,0.0004,0.01,4.1847,4.1854,1579213683,1/16/2020 19:28
,,,4.1756,4.1756,0.0003,0.01,4.1753,4.1759,1579122901,1/15/2020 19:00
,,,4.133,4.133,0.0004,0.01,4.1326,4.1333,1579036500,1/14/2020 19:00
,,,4.1474,4.1468,0.0008,0.02,4.1473,4.1475,1578954602,1/13/2020 19:30
,,,4.1043,4.0617,0.0037,0.09,4.096,4.0965,1578690899,1/10/2020 21:00
,,,4.1043,4.0617,0.0042,0.1,4.0965,4.097,1578690882,1/10/2020 18:14
,,,4.0936,4.0927,0.0011,0.03,4.0935,4.0937,1578609002,1/9/2020 19:30
,,,4.0649,4.0645,-0.0002,0,4.0644,4.0646,1578522602,1/8/2020 19:30
,,,4.0679,4.0676,0,0,4.0675,4.0677,1578436202,1/7/2020 19:30
,,,4.062,4.0618,0.0004,0.01,4.0619,4.0621,1578349803,1/6/2020 19:30
,,,4.0717,4.0251,0.0412,1.02,4.0669,4.0675,1578086997,1/3/2020 21:00
,,,4.0717,4.0251,0.0387,0.96,4.0643,4.065,1578086968,1/3/2020 18:29
,,,4.0263,4.0251,-0.0009,-0.02,4.025,4.0252,1578004203,1/2/2020 19:30
,,,4.0195,4.0195,0.0004,0.01,4.0191,4.0199,1577740501,12/30/2019 19:00
,,,4.0615,4.0358,-0.0097,-0.24,4.0456,4.0463,1577481298,12/27/2019 21:00
,,,4.0615,4.0358,-0.0085,-0.21,4.0468,4.0475,1577481131,12/27/2019 18:12
,,,4.0566,4.056,0.0009,0.02,4.0564,4.0568,1577399402,12/26/2019 19:30
,,,4.0838,4.0838,0,0,4.0833,4.0843,1577224802,12/24/2019 21:00
,,,4.0838,4.0835,0.0005,0.01,4.0833,4.0843,1577202015,12/24/2019 12:40
,,,4.1025,4.0579,0.0003,0.01,4.0833,4.0838,1577135702,12/23/2019 19:00
,,,4.1025,4.0584,0.0332,0.81,4.1022,4.1029,1576879083,12/20/2019 18:58
,,,4.0704,4.0697,0.001,0.02,4.0703,4.0705,1576794602,12/19/2019 19:30
,,,4.0634,4.0633,0.0003,0.01,4.0632,4.0634,1576708216,12/18/2019 19:30
,,,4.0776,4.0512,0.0002,0.01,4.0716,4.0721,1576617299,12/17/2019 19:00
,,,4.0632,4.0632,0.0004,0.01,4.0628,4.0635,1576535282,12/16/2019 19:28
,,,4.117,4.0756,0.0177,0.43,4.108,4.1085,1576271702,12/13/2019 21:00
,,,4.117,4.0756,0.0184,0.45,4.1086,4.1091,1576271586,12/13/2019 18:13
,,,4.1309,4.0842,0.0003,0.01,4.0905,4.0911,1576187105,12/12/2019 19:00
,,,4.1242,4.1242,0.0004,0.01,4.1238,4.1245,1576103162,12/11/2019 19:26
,,,4.147,4.1463,-0.0004,-0.01,4.1462,4.1464,1576017002,12/10/2019 19:30
,,,4.161,4.1255,-0.0001,0,4.1406,4.1413,1575925507,12/9/2019 18:12
,,,4.1944,4.1345,-0.0442,-1.06,4.1411,4.1416,1575666900,12/6/2019 21:00
,,,4.1944,4.1345,-0.0477,-1.14,4.1375,4.1382,1575666609,12/6/2019 18:14
,,,4.186,4.186,0.0004,0.01,4.1856,4.1863,1575584882,12/5/2019 19:28
,,,4.208,4.2077,0,0,4.2076,4.2078,1575498603,12/4/2019 19:30
,,,4.2066,4.2054,-0.0009,-0.02,4.2053,4.2055,1575412201,12/3/2019 19:30
,,,4.2236,4.2234,0.0006,0.01,4.2235,4.2237,1575325803,12/2/2019 19:30
,,,4.2458,4.1835,0.0466,1.11,4.2364,4.2369,1575062100,11/29/2019 21:00
,,,4.2458,4.1835,0.0494,1.18,4.2392,4.2397,1575062043,11/29/2019 18:14
,,,4.1902,4.1894,-0.0006,-0.01,4.1893,4.1895,1574980202,11/28/2019 19:30
